valor,histo,eqHisto
0,0,0
1,0,4886
2,0,8590
3,0,11399
4,0,5554
5,0,13636
6,0,7694
7,0,8366
8,0,8974
9,0,9181
10,0,9285
11,0,17853
12,0,8571
13,0,8884
14,0,9306
15,0,9642
16,0,10367
17,0,11284
18,0,11905
19,0,0
20,0,11940
21,0,12250
22,0,12536
23,0,12510
24,0,0
25,0,12419
26,0,12174
27,0,11993
28,0,11477
29,0,10978
30,0,10628
31,0,10175
32,0,9943
33,1,10036
34,1,9890
35,0,10073
36,1,10076
37,2,9992
38,1,9836
39,4,9791
40,7,9632
41,4,9645
42,12,9640
43,14,9398
44,18,9554
45,68,9614
46,125,9448
47,222,9167
48,354,18243
49,594,8865
50,871,8575
51,1145,8150
52,1442,8023
53,1741,15303
54,1984,7535
55,2243,7631
56,2622,15623
57,2989,7977
58,3855,7856
59,4555,8191
60,5554,16283
61,6428,8303
62,7208,8572
63,7694,8726
64,8366,9205
65,8974,9483
66,9181,10322
67,9285,11140
68,9053,11887
69,8800,12410
70,8571,0
71,8884,12988
72,9306,13509
73,9642,14141
74,10367,0
75,11284,14221
76,11905,14823
77,11940,0
78,12250,15086
79,12536,15406
80,12510,0
81,12419,15333
82,12174,15679
83,11993,0
84,11477,16174
85,10978,0
86,10628,16740
87,10175,16883
88,9943,0
89,10036,17430
90,9890,0
91,10073,17687
92,10076,17508
93,9992,0
94,9836,17662
95,9791,0
96,9632,18031
97,9645,0
98,9640,18489
99,9398,0
100,9554,18737
101,9614,0
102,9448,18506
103,9167,18591
104,9147,0
105,9096,18106
106,8865,0
107,8575,18153
108,8150,0
109,8023,18332
110,7736,0
111,7567,19397
112,7535,0
113,7631,19804
114,7814,0
115,7809,19971
116,7977,0
117,7856,19711
118,8191,0
119,8073,19355
120,8210,19350
121,8303,0
122,8572,18970
123,8726,0
124,9205,18447
125,9483,0
126,10322,18249
127,11140,0
128,11887,17108
129,12410,16227
130,12988,0
131,13509,15169
132,14141,14505
133,14221,0
134,14823,14382
135,15086,14657
136,15406,0
137,15333,15053
138,15679,16027
139,16174,0
140,16740,17324
141,16883,0
142,17430,19128
143,17687,0
144,17508,20551
145,17662,0
146,18031,21118
147,18489,0
148,18737,21641
149,18506,0
150,18591,21155
151,18106,0
152,18153,19642
153,18332,0
154,19397,16501
155,19804,13371
156,19971,11208
157,19711,9856
158,19355,9242
159,19350,7706
160,18970,11391
161,18447,13603
162,18249,8819
163,17108,8984
164,16227,9115
165,15169,9542
166,14505,11686
167,14382,9534
168,14657,12660
169,15053,0
170,16027,16332
171,17324,0
172,19128,22884
173,20551,0
174,21118,0
175,21641,32366
176,21155,0
177,19642,0
178,16501,0
179,13371,40254
180,11208,0
181,9856,0
182,9242,0
183,7706,0
184,6185,46779
185,5206,0
186,4718,0
187,4437,0
188,4448,0
189,4363,0
190,4456,62933
191,4427,0
192,4557,0
193,4629,0
194,4486,0
195,4529,0
196,5013,0
197,5221,0
198,6465,81907
199,9534,0
200,12660,0
201,16332,0
202,22884,0
203,32366,0
204,40254,0
205,46779,0
206,62933,0
207,81907,89105
208,89105,0
209,98334,0
210,123320,0
211,149108,0
212,88386,0
213,19592,0
214,1661,0
215,89,0
216,38,0
217,24,98334
218,6,0
219,9,0
220,2,0
221,1,0
222,1,0
223,0,0
224,0,0
225,0,0
226,0,0
227,0,0
228,0,0
229,0,123320
230,0,0
231,0,0
232,0,0
233,0,0
234,0,0
235,0,0
236,0,0
237,0,0
238,0,0
239,0,0
240,0,0
241,0,0
242,0,0
243,0,0
244,0,149108
245,0,0
246,0,0
247,0,0
248,0,0
249,0,0
250,0,0
251,0,0
252,0,0
253,0,88386
254,0,0
255,0,21423
