valor,histo,eqHisto
0,1073346,0
1,292588,1073346
2,98082,0
3,50063,0
4,34890,0
5,30806,0
6,24096,0
7,18366,0
8,14650,0
9,11909,0
10,10352,0
11,9327,0
12,8451,0
13,7951,0
14,7501,0
15,7049,0
16,6889,0
17,6355,0
18,6410,0
19,6470,0
20,6569,0
21,6351,0
22,6303,0
23,6151,0
24,6202,0
25,6136,0
26,5855,0
27,5601,0
28,5459,0
29,5328,0
30,5162,0
31,4954,0
32,5040,0
33,4738,0
34,4775,0
35,4679,0
36,4663,0
37,4537,0
38,4444,0
39,4280,0
40,4189,0
41,4161,0
42,4104,0
43,4033,0
44,3919,0
45,3937,0
46,3925,0
47,3868,0
48,3796,0
49,3708,0
50,3554,0
51,3585,0
52,3486,0
53,3452,0
54,3431,0
55,3355,0
56,3238,0
57,3247,0
58,3107,0
59,3073,0
60,3074,0
61,3034,0
62,2898,0
63,2768,0
64,2887,0
65,2748,0
66,2658,0
67,2646,0
68,2580,0
69,2506,0
70,2460,0
71,2461,0
72,2436,292588
73,2290,0
74,2269,0
75,2274,0
76,2300,0
77,2284,0
78,2198,0
79,2103,0
80,2132,0
81,2151,0
82,1965,0
83,1964,0
84,2006,0
85,1923,0
86,1933,0
87,1941,0
88,1909,0
89,1876,0
90,1924,0
91,1933,0
92,1870,0
93,1951,0
94,1867,0
95,1837,0
96,1770,98082
97,1849,0
98,1818,0
99,1760,0
100,1696,0
101,1675,0
102,1729,0
103,1666,0
104,1671,0
105,1708,0
106,1593,0
107,1671,0
108,1568,0
109,1584,50063
110,1681,0
111,1653,0
112,1601,0
113,1568,0
114,1643,0
115,1592,0
116,1639,0
117,1615,34890
118,1600,0
119,1667,0
120,1633,0
121,1574,0
122,1606,0
123,1529,0
124,1530,0
125,1495,30806
126,1465,0
127,1498,0
128,1476,0
129,1376,0
130,1370,0
131,1400,24096
132,1335,0
133,1360,0
134,1312,0
135,1329,18366
136,1271,0
137,1276,0
138,1253,0
139,1265,14650
140,1194,0
141,1163,0
142,1148,11909
143,1034,0
144,1042,10352
145,967,0
146,991,9327
147,900,0
148,827,8451
149,834,0
150,767,7951
151,779,0
152,794,7501
153,765,0
154,721,7049
155,723,0
156,720,6889
157,678,6355
158,704,0
159,606,6410
160,616,6470
161,669,0
162,633,6569
163,582,6351
164,601,0
165,661,6303
166,610,6151
167,601,0
168,583,6202
169,554,6136
170,567,0
171,519,5855
172,545,5601
173,544,0
174,569,5459
175,546,5328
176,556,5162
177,528,4954
178,553,0
179,547,5040
180,470,4738
181,535,4775
182,556,4679
183,536,4663
184,485,4537
185,505,4444
186,505,4280
187,484,4189
188,508,4161
189,444,4104
190,442,4033
191,481,3919
192,489,3937
193,470,3925
194,493,3868
195,453,3796
196,473,3708
197,509,3554
198,489,3585
199,459,3486
200,487,6883
201,469,3355
202,518,3238
203,493,3247
204,488,6180
205,476,3074
206,508,5932
207,470,2768
208,456,2887
209,448,5406
210,465,5226
211,422,2506
212,487,4921
213,469,4726
214,503,2269
215,497,4574
216,468,4482
217,527,4235
218,510,4116
219,523,3970
220,512,3856
221,496,3850
222,461,5733
223,476,3821
224,484,3704
225,461,3619
226,455,3578
227,405,5100
228,404,3337
229,391,4972
230,415,3152
231,390,4935
232,406,3211
233,402,4846
234,350,3267
235,338,4813
236,322,4554
237,390,4439
238,401,4146
239,453,4007
240,294,3876
241,99,3712
242,2,4387
243,1,4519
244,1,3826
245,0,4047
246,0,4357
247,1,3881
248,1,4291
249,0,3909
250,0,4316
251,1,3909
252,2,4215
253,1,3989
254,0,4079
255,2,2309
